"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2275001194.693","2456156639.11652","2600636441.41749","2790682950.598","3019627868.09031","3096542135.39847","3133260565.77017","3354057489.24256","3420869839.91215","3463221648.91387","3727000980.15587","3616262212.9161","3497878574.78335","3566980819.1811","3849184770.50407","3895927320.69771","3936858226.41296","4007730570.66551","4004095236.563","3582874486.54068","3450844508.80398","3569762499.92863","3520861643.76522","3668675595.35006","3679681622.13611","3889423506.82798","3971101384.35631","4050523376.47918","","","",
"Africa Eastern and Southern","AFE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","868213298299.053","866532919060.986","846411176423.277","839719155829.495","855206346662.922","892812164643.792","942167419172.592","973386227673.643","990610425502.14","1017531845135","1050096319898.69","1087647413910.12","1128808616560.99","1163663645477.55","1229501868353.21","1309555343760.89","1401468799795.4","1504471034185.77","1579709644404.16","1603928909487.24","1689386617527.92","1770268906067.14","1849324422328.57","1938899237925.31","2028120735236.63","2098205281843.43","2153484311085.88","2225901137728.64","2291269993346.9","2344721279578.24","2283538914009.39",
"Afghanistan","AFG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26890054381.7272","29265058688.6901","29678901145.637","33011757107.083","34780330055.637","39589169628.9703","41143038132.0194","49943751385.4357","57116893445.7257","57360414053.706","64675178729.1114","68297470346.8867","70158264542.9676","71176481721.5497","72785293845.8908","74711922904.5459","75600418106.9806","78557606646.7514","77037691160.4968",
"Africa Western and Central","AFW","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","574178369557.86","581416576629.155","595898396582.939","590023648681.389","589398126922.971","602283701462.025","630710112349.747","654574200472.184","678420325759.51","689876894759.071","713461068910.895","752434832950.228","823656314550.317","870427417639.513","937455741293.303","992299149242.798","1044542376903.01","1101848408175.63","1169455780112.64","1239519154103.71","1320492789950.72","1386510272793.02","1461153074149.89","1548139047203.86","1638081182190.95","1684557292204.66","1691200533468.4","1733996802844.02","1787623665711.08","1847645715179.83","1832938205081.84",
"Angola","AGO","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68524299956.2213","69203621977.5983","65163320249.051","49534929134.6161","50198381863.7314","57728139157.7801","65547051778.05","70315126122.1511","73613711665.7012","75219587217.0244","77517262957.102","80777637917.8797","91816456696.4398","94561631036.5231","104918835770.191","120686998750.232","134623551003.143","153484335057.563","170622608225.526","172087766086.568","179666395220.529","185904369961.674","201784670079.693","211782181648.306","221995647525.415","224090335322.844","218308693423.998","217987314775.762","213619656135.168","212285293091.615","203707884595.18",
"Albania","ALB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15865184944.2368","11422593382.1579","10601638926.2564","11615093237.5654","12579478933.5157","14255359046.9679","15552596640.9255","13854255562.9161","15077598480.5087","17021085354.4912","18204056937.0663","19713186004.9507","20608156890.5537","21747798430.9974","22946101840.3448","24215001724.163","25643707156.1698","27177196237.5384","29215477682.6946","30194215621.5199","31313482675.7434","32110511590.6474","32565686438.6613","32891990432.1348","33475654455.6616","34218396285.962","35352669312.5928","36696847617.1258","38190886849.3091","39021039211.5266","37728959169.7297",
"Andorra","AND","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2091064185750.72","2139570107715.41","2242456485203.37","2301269231801.21","2368137370747.82","2431177361061.23","2543372134045.68","2644783277185.27","2784050115421.95","2838494082366.45","3021896340538.78","3072319001151.1","3086402486328.29","3231735749081.65","3513548505503.03","3703457460443.33","3920072313321.97","4101375260172.46","4343928558693.46","4382605347122.05","4584721404246.88","4759773755021.31","5049526698066.02","5210102383421.63","5351243351374.51","5555113370642.66","5747518196638.07","5826346952634.46","5970372112651.95","6080642038866.41","5837043689948.08",
"United Arab Emirates","ARE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203786719174.428","205539451953.941","212414633291.13","215093587425.854","229926760737.398","245304001445.016","259527718627.388","280784073366.269","281603946992.507","289776695165.985","321225302769.393","325719517894.06","333645761684.93","363008393119.077","397735361034.392","417045974400.261","458072120504.461","472658924098.138","487745423099.744","462173311463.239","469581071334.987","502124315098.928","524642713112.523","551154723753.16","574767865897.349","604115150934.045","622606900085.631","637384703420.793","644968661252.204","655789431881.194","",
"Argentina","ARG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","461383067201.322","503521692862.548","543487677674.924","588091597641.758","622413803601.64","604704826244.047","638124986360.376","689883602459.881","716445355022.187","692190405308.303","686729030354.167","656452248352.077","584935157748.42","636626116267.445","694110738087.096","755551060091.7","816351398560.387","889885482456.274","925990210833.411","871185248000.694","959396223037.974","1016997908811.78","1006559234254.59","1030770242883.89","1004870951838.8","1032315583601.57","1010840035080.25","1039330591569.37","1012668104673.4","991523444158.633","893310718365.01",
