name,lon,lat
Afghanistan,67.709953,33.93911
Albania,20.168331,41.153332
Algeria,1.659626,28.033886
Angola,17.873887,-11.202692
Antigua and Barbuda,-61.796428,17.060816
Argentina,-63.61667199999999,-38.416097
Armenia,45.038189,40.069099
Aruba,-69.968338,12.52111
Australia,133.775136,-25.274398
Austria,14.550072,47.516231
Azerbaijan,47.576927,40.143105
Bahamas,-77.39627999999999,25.03428
Bahrain,50.5577,26.0667
Bangladesh,90.356331,23.684994
Barbados,-59.543198,13.193887
Belarus,27.953389,53.709807
Belgium,4.469936,50.503887
Belize,-88.49765,17.189877
Benin,2.315834,9.30769
Bermuda,-64.7505,32.3078
Bhutan,90.433601,27.514162
Bolivia,-63.58865299999999,-16.290154
Bosnia and Herzegovina,17.679076,43.915886
Botswana,24.684866,-22.328474
Brazil,-51.92528,-14.235004
Brunei,114.727669,4.535277
Bulgaria,25.48583,42.733883
Burkina Faso,-1.561593,12.238333
Burundi,29.918886,-3.373056
Cambodia,104.990963,12.565679
Cameroon,12.354722,7.369721999999999
Canada,-106.346771,56.130366
Cape Verde,-23.0418,16.5388
Cayman Islands,-81.2546,19.3133
Central African Republic,20.939444,6.611110999999999
Chad,18.732207,15.454166
Chile,-71.542969,-35.675147
Colombia,-74.297333,4.570868
Comoros,43.3333,-11.6455
Congo,21.758664,-4.038333
Costa Rica,-83.753428,9.748916999999999
Côte d'Ivoire,-5.547079999999999,7.539988999999999
Croatia,15.2000001,45.1
Cyprus,33.429859,35.126413
Czech Republic,15.472962,49.81749199999999
Democratic Republic of the Congo,21.758664,-4.038333
Democratic Republic of Timor-Leste,125.727539,-8.874217
Denmark,9.501785,56.26392
Djibouti,42.590275,11.825138
Dominica,-61.37097600000001,15.414999
Dominican Republic,-70.162651,18.735693
Ecuador,-78.18340599999999,-1.831239
Egypt,30.802498,26.820553
El Salvador,-88.89653,13.794185
Equatorial Guinea,10.267895,1.650801
Estonia,25.0136071,58.595272
Eswatini,31.465866,-26.522503
Ethiopia,40.489673,9.145000000000001
Federated States of Micronesia,150.550812,7.425554
Fiji,178.065032,-17.713371
Finland,25.7481511,61.92410999999999
France,2.213749,46.227638
Gabon,11.609444,-0.803689
Gambia,-15.310139,13.443182
Georgia,-82.9000751,32.1656221
Germany,10.451526,51.165691
Ghana,-1.023194,7.946527
Great Britain,-2.4290148,53.8337367
Greece,21.824312,39.074208
Grenada,-61.67899999999999,12.1165
Guatemala,-90.23075899999999,15.783471
Guinea,-9.696645,9.945587
Guinea-Bissau,-15.180413,11.803749
Guyana,-58.93018,4.860416
Haiti,-72.285215,18.971187
Honduras,-86.241905,15.199999
"Hong Kong, China",114.1693611,22.3193039
Hungary,19.5033041,47.162494
Iceland,-19.020835,64.963051
India,78.96288,20.593684
Indonesia,113.921327,-0.789275
Iraq,43.679291,33.223191
Ireland,-7.692053599999999,53.1423672
Islamic Republic of Iran,53.688046,32.427908
Israel,34.851612,31.046051
Italy,12.56738,41.87194
Ivory Coast,-5.547079999999999,7.539988999999999
Jamaica,-77.297508,18.109581
Japan,138.252924,36.204824
Jordan,-97.3342624,37.9973704
Kazakhstan,66.923684,48.019573
Kenya,37.906193,-0.023559
Kiribati,-168.734039,-3.370417
Kosovo,20.902977,42.6026359
Kuwait,47.481766,29.31166
Kyrgyzstan,74.766098,41.20438
