country_3_letter_code,country_name,game_year,game_season,game_location,total_at_event,host,slug_game,competed_in,name,gdp_per_capita,ISO3,gdp_total,population,military_percent_gdp,military_total,lon,lat,abs_lat,total_all_time
ZAM,Zambia,2000,Summer,Australia,0,N,sydney-2000,4,Zambia,1990.85899129325,ZMB,20736671783.489,10415942,0,0,27.849332,-13.133897,13.133897,2
IRI,Islamic Republic of Iran,2014,Winter,Russian Federation,0,N,sochi-2014,7,"Iran, Islamic Rep.",13038.5550641113,IRN,1010041694690.22,77465768,2.2810787288833,23039846250.43101,53.688046,32.427908,32.427908,76
PUR,Puerto Rico,2016,Summer,Brazil,1,N,rio-2016,22,Puerto Rico,34539.5868383201,PRI,117665043373.674,3406672,0,0,-66.590149,18.220833,18.220833,10
AUS,Australia,2016,Summer,Brazil,29,N,rio-2016,265,Australia,48197.431189174,AUS,1165939575536.21,24190907,2.08368922475255,24294557302.573624,133.775136,-25.274398,25.274398,561
MRI,Mauritius,2000,Summer,Australia,0,N,sydney-2000,14,Mauritius,11890.5886483671,MUS,14112618620.8534,1186872,0.200718816089576,28326681.015013997,57.55215200000001,-20.348404,20.348404,1
ROU,Romania,1996,Summer,United States of America,20,N,atlanta-1996,128,Romania,12627.2026959107,ROU,285614748287.615,22619004,2.36907292563377,6766421673.298929,24.96676,45.943161,45.943161,311
PAR,Paraguay,2008,Summer,People's Republic of China,0,N,beijing-2008,5,Paraguay,9660.59652593826,PRY,58748947010.8022,6081295,0.684193505886038,401956480.2243383,-58.443832,-23.442503,23.442503,1
VIE,Vietnam,2004,Summer,Greece,0,N,athens-2004,7,Vietnam,3689.732511349,VNM,306479583748.597,83062818,2.01437983970519,6173662947.844122,108.277199,14.058324,14.058324,4
KEN,Kenya,2016,Summer,Brazil,13,N,rio-2016,44,Kenya,3952.75813183016,KEN,193888838038.969,49051530,1.3487397833903,2615055894.18476,37.906193,-0.023559,0.023559,112
CAM,Cambodia,2000,Summer,Australia,0,N,sydney-2000,3,Cambodia,1481.65682787005,KHM,18009895822.056,12155241,2.20981320983564,397985056.9534305,104.990963,12.565679,12.565679,NA
NED,Netherlands,2002,Winter,United States of America,8,N,salt-lake-city-2002,43,Netherlands,47958.3319661157,NLD,774475697879.233,16148929,1.42655601162955,11048329626.70611,5.291265999999999,52.132633,52.132633,450
ISR,Israel,2000,Summer,Australia,1,N,sydney-2000,34,Israel,31469.0952956816,ISR,197909140314.541,6288999,6.29716498346273,12462665082.959396,34.851612,31.046051,31.046051,13
SWE,Sweden,2008,Summer,People's Republic of China,5,N,beijing-2008,96,Sweden,47963.4937520407,SWE,442206001645.583,9219636,1.16374723679633,5146160125.098005,18.643501,60.12816100000001,60.12816100000001,653
